Cycle,FECCandID,CID,FirstLastP,Party Original,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCode,NoPacs,State,District,Party,contrib_date,contrib_count,contrib_amount
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-12-11,2,5400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-12-14,1,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-12-21,25,22600.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-12-31,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-01-06,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-01-21,4,2250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-01-29,8,4400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-03,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-09,26,20100.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-12,3,2250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-16,2,2000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-18,25,29800.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-19,2,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-22,37,31250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-23,1,2500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-24,22,9350.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-25,5,2000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-26,3,850.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-28,22,29500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-02-29,5,3500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-01,20,13700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-03,1,2700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-15,4,1750.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-16,2,2000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-23,2,-3700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-03-29,2,-3200.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-04-22,2,1300.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-05-03,2,3200.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-05-23,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-05-25,2,-5600.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-06-21,1,2700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-08-15,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-09-02,2,750.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-09-12,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-09-26,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-09-29,1,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-07,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-11,1,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-19,5,1500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-21,1,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-23,2,3334.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-24,2,750.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-26,3,3834.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-27,3,2667.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-30,2,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-10-31,12,10567.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-11-02,3,5700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-11-05,2,5400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-11-08,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-11-18,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-12-05,1,500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2016-12-19,3,1674.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-06,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-12,4,10800.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-15,1,2700.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-16,2,5400.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2015-03-17,3,6400.0
