cid,name,real_party,change,change_to
N00037615,JENNIFFER GONZALEZ,O,YES,D
N00030418,GREGORIO SABLAN,O,YES,D
N00031938,JUSTIN AMASH,O,YES,R
N00034580,ANGUS KING,O,YES,D
N00000528,BERNIE SANDERS,O,YES,D
