dc_gender,dc_state,dc_district,newsletter_id,dc_date,dc_name,dc_party,newsletter_count,total_newsletters,body_word_count,fundraising_terms,fundraising_ratio,neutral_score,anger_score,joy_score,disgust_score,sadness_score,surprise_score,fear_score,matched_phrases,themes_list,theme_national_security_and_defense,theme_political_figures_-_obama,theme_social_issues_and_values,theme_healthcare,theme_social_safety_net_and_entitlements,theme_education,theme_government_overreach,theme_economy_and_taxes,theme_congress_and_legislation,theme_housing_and_community,theme_media_and_press,theme_energy_independence,theme_patriotic_rhetoric,theme_law_enforcement_and_crime,theme_immigration,theme_political_figures_-_trump,theme_executive_power,theme_voting_rights,theme_terrorism_and_foreign_threats,theme_supreme_court_and_judiciary,theme_iran_and_nuclear_policy,theme_gun_policy,theme_reproductive_rights,theme_climate_and_energy_policy,theme_civil_rights,theme_political_figures_-_hillary_clinton,theme_criminal_justice_reform,theme_election_integrity,theme_trump_name_calling,fec_cid,fec_name,contrib_date,contrib_count,contrib_amount,month_start,avg_daily_contrib_count_per_month,avg_daily_contrib_amount_per_month,window_days,window_contrib_count,window_contrib_amount,window_fundraising_count_score,window_fundraising_amount_score
M,GA,6,136135,2017-01-02,TOM PRICE,R,1,115.0,364,1,0.0027472527472527475,0.9329447150230408,,0.0140858618542552,,0.0101895378902554,0.0133991325274109,0.020300080999732,"['trump', 'donald trump', 'legislation', 'house', 'congress', 'committee', 'national security', 'economy', 'regulations', 'regulation', 'states', 'american', 'american people', 'news']","['National Security & Defense', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Media & Press']",True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,N00026160,TOM PRICE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,ND,0,136136,2017-01-02,KEVIN CRAMER,R,1,95.0,1959,1,0.0005104645227156713,0.1166461780667305,,0.8176012635231018,,0.0136666819453239,0.0257508866488933,0.0204760581254959,"['medicare', 'gun', 'illegal', 'social security', 'medicare', 'benefit', 'assistance', 'trump', 'donald trump', 'president trump', 'obama', 'president obama', 'obama administration', 'legislation', 'the bill', 'house', 'senate', 'congress', 'committee', 'law', 'sponsored', 'order', 'military', 'veterans', 'nuclear', 'tax', 'regulations', 'regulatory', 'regulation', 'budget', 'dollars', 'energy', 'pipeline', 'epa', 'god', 'god bless', 'bless', 'states', 'executive', 'power', 'oversight', 'transparency', 'american', 'media', 'press', 'news', 'reported']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Iran & Nuclear Policy', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Political Figures - Trump', 'Gun Policy', 'Media & Press', 'Executive Power', 'Energy Independence']",True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,,,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,KS,2,136137,2017-01-01,LYNN JENKINS,R,1,102.0,566,0,0.0,0.0174021013081073,0.0026275860145688,0.9507814645767212,,0.0022741716820746,0.025143839418888,,"['mental health', 'health', 'college', 'benefit', 'trump', 'donald trump', 'legislation', 'bills', 'house', 'senate', 'congress', 'law', 'community', 'veterans', 'tax', 'tax code', 'economy', 'epa', 'american']","['National Security & Defense', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Energy Independence']",True,False,False,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,N00029077,LYNN JENKINS,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,FL,16,136139,2017-01-01,VERN BUCHANAN,R,1,191.0,113,0,0.0,0.8242111802101135,0.0091064432635903,,,0.0549814291298389,0.056576669216156,0.0457639917731285,"['legislation', 'news']","['Media & Press', 'Congress & Legislation']",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00027626,VERNON BUCHANAN,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,SC,7,136140,2017-01-01,TOM RICE,R,1,118.0,264,0,0.0,0.0743042454123497,0.0029511468019336,0.8232682347297668,,0.0437544547021389,0.0529674552381038,,"['obamacare', 'repeal', 'obama', 'legislation', 'house', 'tax', 'tax reform', 'regulatory', 'government', 'media']","['Political Figures - Obama', 'Healthcare', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Media & Press']",False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00033832,TOM RICE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,NC,8,136141,2017-01-01,RICHARD HUDSON,R,1,111.0,671,0,0.0,0.1098098382353782,,0.2165532112121582,,0.5741546750068665,0.0873545706272125,0.0063703642226755,"['health care', 'obamacare', 'health', 'repeal', 'trump', 'donald trump', 'obama', 'legislation', 'house', 'congress', 'community', 'national security', 'veterans', 'economy', 'jobs', 'spending', 'life', 'bless', 'government', 'american', 'media']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Media & Press']",True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,N00033630,RICHARD HUDSON,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,TX,36,136142,2017-01-01,BRIAN BABIN,R,1,121.0,416,0,0.0,0.3672446310520172,0.0070050382055342,0.592260479927063,,,0.0146610466763377,0.0106737092137336,"['obamacare', 'repeal', 'border', 'trump', 'donald trump', 'obama', 'president obama', 'failed policies', 'legislation', 'congress', 'election', 'order', 'military', 'economy', 'government spending', 'spending', 'god', 'bless', 'bureaucracy', 'government', 'conservative', 'american', 'american people', 'news']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Voting Rights', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Political Figures - Trump', 'Media & Press']",True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,N00005736,BRIAN BABIN,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,IL,9,136143,2017-01-01,JANICE SCHAKOWSKY,D,1,18.0,1094,5,0.004570383912248629,0.0077678770758211,0.0131570622324943,0.0044630100019276,,0.0022193556651473,,0.9701284766197203,"['healthcare', 'affordable care act', 'medicare', 'medicaid', 'health', 'gun violence', 'gun', 'violence', 'immigration reform', 'social security', 'medicare', 'medicaid', 'minimum wage', 'wage', 'benefit', 'trump', 'donald trump', 'congress', 'reproductive rights', 'climate change', 'climate', 'housing', 'affordable', 'iran', 'nuclear', 'nuclear deal', 'economy', 'jobs', 'spending', 'american']","['Healthcare', 'Reproductive Rights', 'Social Safety Net & Entitlements', 'Climate & Energy Policy', 'Iran & Nuclear Policy', 'Patriotic Rhetoric', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Gun Policy']",False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,N00004724,JAN SCHAKOWSKY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,OH,14,136144,2017-01-01,DAVID JOYCE,R,1,98.0,479,0,0.0,0.0957862809300422,0.005089740268886,0.850063681602478,,0.0109226545318961,0.0349693186581134,,"['health', 'legislation', 'bills', 'house', 'senate', 'congress', 'law', 'veterans', 'terrorism', 'isis', 'terror', 'iran', 'sanctions', 'tax', 'tax code', 'regulations', 'regulation']","['National Security & Defense', 'Terrorism & Foreign Threats', 'Iran & Nuclear Policy', 'Healthcare', 'Economy & Taxes', 'Congress & Legislation']",True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,N00035007,DAVID P JOYCE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,TX,10,136145,2017-01-01,MICHAEL MCCAUL,R,1,78.0,608,1,0.001644736842105263,0.0594581998884677,,0.0509585887193679,,0.8608924746513367,0.0221550930291414,0.0027714571915566,"['obama', 'obama administration', 'legislation', 'bills', 'house', 'congress', 'vote', 'tax', 'spending', 'states', 'freedom', 'accountability', 'transparency', 'american', 'news', 'fox news']","['Political Figures - Obama', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Media & Press', 'Executive Power']",False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,N00026460,MICHAEL MCCAUL,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
