dc_gender,dc_state,dc_district,newsletter_id,dc_date,dc_name,dc_party,newsletter_count,total_newsletters,body_word_count,fundraising_terms,fundraising_ratio,neutral_score,anger_score,joy_score,disgust_score,sadness_score,surprise_score,fear_score,matched_phrases,themes_list,theme_national_security_and_defense,theme_political_figures_-_obama,theme_social_issues_and_values,theme_healthcare,theme_social_safety_net_and_entitlements,theme_education,theme_government_overreach,theme_economy_and_taxes,theme_congress_and_legislation,theme_housing_and_community,theme_media_and_press,theme_energy_independence,theme_patriotic_rhetoric,theme_law_enforcement_and_crime,theme_immigration,theme_political_figures_-_trump,theme_executive_power,theme_voting_rights,theme_terrorism_and_foreign_threats,theme_supreme_court_and_judiciary,theme_iran_and_nuclear_policy,theme_gun_policy,theme_reproductive_rights,theme_climate_and_energy_policy,theme_civil_rights,theme_political_figures_-_hillary_clinton,theme_criminal_justice_reform,theme_election_integrity,theme_trump_name_calling,fec_cid,fec_name,contrib_date,contrib_count,contrib_amount,month_start,avg_daily_contrib_count_per_month,avg_daily_contrib_amount_per_month,window_days,window_contrib_count,window_contrib_amount,window_fundraising_count_score,window_fundraising_amount_score
M,PA,4,108117,2016-05-08,SCOTT PERRY,R,1,166.0,481,1,0.002079002079002079,0.9204661846160888,0.0175541080534458,,,0.0194434504956007,0.0194121226668357,0.0138111943379044,"['medicare', 'student', 'college', 'social security', 'medicare', 'legislation', 'congress', 'order', 'defense', 'isis', 'taxes', 'tax', 'business', 'spending', 'budget', 'deficit', 'news']","['National Security & Defense', 'Healthcare', 'Terrorism & Foreign Threats', 'Social Safety Net & Entitlements', 'Education', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Media & Press']",True,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,N00034120,SCOTT PERRY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MI,11,108118,2016-05-08,DAVE TROTT,R,1,97.0,423,0,0.0,0.0705385506153106,0.7167448401451111,,,0.0431394167244434,0.0431610271334648,0.091212473809719,"['health care', 'health', 'house', 'congress', 'law', 'election', 'community', 'order', 'isis', 'economy', 'bless', 'federal government', 'government', 'news']","['Social Issues & Values', 'Healthcare', 'Voting Rights', 'Terrorism & Foreign Threats', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",False,False,True,True,False,False,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,N00035607,DAVE TROTT,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,PA,10,108119,2016-05-08,TOM MARINO,R,1,65.0,977,2,0.0020470829068577278,0.02536341547966,0.0023027281276881,0.9528763890266418,,0.0043346998281776,0.0131844636052846,,"['health care', 'medicare', 'health', 'student', 'curriculum', 'medicare', 'assistance', 'house', 'congress', 'affordable', 'order', 'taxes', 'tax', 'jobs', 'energy', 'pipeline', 'epa', 'life', 'government', 'states', 'constitution', 'news']","['Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Education', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Energy Independence']",False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00031777,TOM MARINO,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,IL,8,108120,2016-05-08,TAMMY DUCKWORTH,D,1,35.0,404,3,0.007425742574257425,0.2217562943696975,0.0123411267995834,0.7225580215454102,,0.0073345373384654,0.0321079976856708,,"['public health', 'health', 'education', 'student', 'college', 'child care', 'benefit', 'legislation', 'bills', 'house', 'senate', 'congress', 'equal', 'affordable', 'military', 'armed forces', 'american']","['National Security & Defense', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Civil Rights', 'Congress & Legislation', 'Housing & Community']",True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,N00027860,TAMMY DUCKWORTH,2016-05-08,14,1485.00,2016-05-01,152,40672.58,3,380,148010.00,0.83,1.21
M,IA,2,108121,2016-05-08,DAVID LOEBSACK,D,1,30.0,355,0,0.0,0.8979635238647461,,0.0606338419020175,,0.0129671646282076,0.0143847158178687,0.0060488609597086,"['health', 'this bill', 'house', 'press', 'news']","['Media & Press', 'Congress & Legislation', 'Healthcare']",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00027741,DAVID LOEBSACK,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,SC,1,108124,2016-05-07,MARSHALL SANFORD,R,1,96.0,729,2,0.0027434842249657062,0.3443940281867981,,,0.092787280678749,0.42323899269104,0.070334754884243,0.0434974730014801,"['student', 'wage', 'house', 'congress', 'vote', 'law', 'majority', 'neighborhood', 'national security', 'economy', 'economic growth', 'business', 'regulation', 'budget', 'deficit', 'epa', 'bless', 'government', 'conservative', 'constitution', 'american', 'news']","['National Security & Defense', 'Social Issues & Values', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Energy Independence']",True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00002424,MARK SANFORD,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MO,8,108125,2016-05-07,JASON SMITH,R,1,110.0,2090,6,0.0028708133971291866,0.4767953753471374,0.0473602786660194,0.0986268669366836,,,0.142436683177948,0.2212889790534973,"['student', 'legislation', 'house', 'congress', 'law', 'sponsored', 'equal', 'community', 'veterans', 'tax', 'economy', 'jobs', 'small business', 'business', 'regulatory', 'life', 'federal government', 'government', 'states', 'american', 'media']","['National Security & Defense', 'Social Issues & Values', 'Patriotic Rhetoric', 'Education', 'Civil Rights', 'Economy & Taxes', 'Government Overreach', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,N00035282,JASON SMITH,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,TX,28,108126,2016-05-07,HENRY CUELLAR,D,1,96.0,976,0,0.0,0.737451434135437,,0.0909741818904876,,0.0207916684448719,0.0223260503262281,0.1023586615920066,"['health', 'student', 'benefit', 'trump', 'house', 'congress', 'law', 'community', 'neighborhood', 'law enforcement', 'crime', 'military', 'veterans', 'jobs', 'epa', 'life', 'executive', 'american', 'news']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,N00024978,HENRY CUELLAR,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,IL,10,108127,2016-05-07,BOB DOLD,R,1,151.0,316,1,0.0031645569620253164,0.1439257562160492,,,0.014011101797223,0.723228394985199,0.0586634576320648,0.0494744069874286,"['education', 'student', 'college', 'student loan', 'the bill', 'congress', 'community', 'states', 'media', 'news']","['Education', 'Government Overreach', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00031103,BOB DOLD,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,NH,1,108128,2016-05-07,FRANK GUINTA,R,1,86.0,814,3,0.0036855036855036856,0.8933873772621155,0.022998983040452,,,0.0230851899832487,0.023772781714797,0.0230092797428369,"['obamacare', 'gun', 'second amendment', 'right to bear arms', 'illegal immigration', 'illegal', 'obama', 'president obama', 'house', 'congress', 'committee', 'vote', 'votes', 'law', 'amendment', 'housing', 'taxes', 'tax', 'economy', 'jobs', 'economic growth', 'small business', 'business', 'regulations', 'regulation', 'epa', 'bureaucrats', 'government', 'states', 'power', 'american']","['Political Figures - Obama', 'Healthcare', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Housing & Community', 'Gun Policy', 'Executive Power', 'Energy Independence']",False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,N00030801,FRANK GUINTA,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,WA,8,108129,2016-05-07,DAVID REICHERT,R,1,76.0,796,4,0.005025125628140704,0.505556046962738,,0.232928067445755,,0.0501834526658058,0.1904814392328262,0.0086367996409535,"['health', 'student', 'house', 'congress', 'law', 'community', 'military', 'veterans', 'regulatory', 'spending', 'epa', 'power', 'media', 'press', 'news']","['National Security & Defense', 'Healthcare', 'Education', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,N00026885,DAVE REICHERT,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,IN,4,108130,2016-05-07,TODD ROKITA,R,1,81.0,1062,2,0.0018832391713747645,0.4805819690227508,0.0087339840829372,0.3694255948066711,,0.025432601571083,0.110171802341938,,"['medicaid', 'education', 'student', 'college', 'medicaid', 'legislation', 'house', 'senate', 'congress', 'committee', 'vote', 'law', 'voter', 'voter id', 'order', 'economy', 'small business', 'business', 'budget', 'life', 'government', 'states', 'supreme court', 'power', 'american', 'media', 'wall street journal']","['Election Integrity', 'Social Issues & Values', 'Healthcare', 'Voting Rights', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Supreme Court & Judiciary', 'Media & Press', 'Executive Power']",False,False,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,N00031741,TODD ROKITA,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,OK,2,108131,2016-05-07,MARKWAYNE MULLIN,R,1,106.0,349,1,0.0028653295128939827,0.0799865201115608,0.0048728650435805,0.8156319856643677,,0.0098110120743513,0.0855709239840507,,"['congress', 'small business', 'business', 'god', 'bless', 'freedom', 'news']","['Social Issues & Values', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Media & Press']",False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00033410,MARKWAYNE MULLIN,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MI,6,108132,2016-05-07,FRED UPTON,R,1,105.0,344,0,0.0,0.2128757536411285,0.0062445029616355,0.6991297602653503,,0.0046932222321629,0.0722753405570983,,"['medicare', 'medicaid', 'medicare', 'medicaid', 'house', 'order', 'god', 'god bless', 'bless', 'federal government', 'government', 'press']","['Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Government Overreach', 'Law Enforcement & Crime', 'Congress & Legislation', 'Media & Press']",False,False,True,True,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00004133,FRED UPTON,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,CA,24,108179,2016-05-07,LOIS CAPPS,D,1,60.0,298,0,0.0,0.3294749855995178,0.0434198305010795,,0.0985750928521156,0.097436673939228,,0.4117434024810791,"['congress', 'news']","['Media & Press', 'Congress & Legislation']",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00007232,LOIS CAPPS,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MP,0,108153,2016-05-06,GREGORIO SABLAN,D,1,108.0,1080,4,0.003703703703703704,0.2470032423734665,0.0052705979906022,0.6512206792831421,,0.0072519942186772,0.0860201269388198,,"['education', 'benefit', 'house', 'congress', 'law', 'housing', 'community', 'law enforcement', 'jobs', 'life', 'government', 'american', 'reporting']","['Social Issues & Values', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,PA,3,108135,2016-05-06,MIKE KELLY,R,1,60.0,564,1,0.0017730496453900709,0.7348832488059998,,0.1482955366373062,,0.0370273441076278,0.0498194806277751,0.0161752868443727,"['health', 'education', 'student', 'assistance', 'this bill', 'house', 'senate', 'congress', 'tax', 'economy', 'spending', 'epa', 'life', 'god', 'god bless', 'bless', 'government', 'judges', 'american', 'news']","['Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Supreme Court & Judiciary', 'Media & Press', 'Energy Independence']",False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,N00031647,MIKE KELLY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,AK,0,108136,2016-05-06,DON YOUNG,R,1,7.0,3124,10,0.003201024327784891,0.8041476607322693,0.0124965896829962,0.1262194216251373,,,0.0272351782768964,0.0172671433538198,"['repeal', 'education', 'student', 'illegal', 'benefit', 'obama', 'legislation', 'this bill', 'bills', 'house', 'senate', 'congress', 'committee', 'law', 'amendment', 'sponsored', 'civil', 'housing', 'community', 'law enforcement', 'crime', 'national security', 'national defense', 'defense', 'military', 'veterans', 'terrorist', 'isis', 'terror', 'taxes', 'tax', 'tax relief', 'tax code', 'economy', 'small business', 'business', 'regulations', 'regulation', 'dollars', 'oil and gas', 'epa', 'life', 'god', 'god bless', 'bless', 'federal government', 'government', 'states', 'constitution', 'constitutional', 'supreme court', 'executive', 'power', 'accountable', 'transparency', 'american', 'american people', 'press', 'news']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Government Overreach', 'Immigration', 'Healthcare', 'Patriotic Rhetoric', 'Law Enforcement & Crime', 'Congress & Legislation', 'Social Safety Net & Entitlements', 'Civil Rights', 'Supreme Court & Judiciary', 'Media & Press', 'Energy Independence', 'Terrorism & Foreign Threats', 'Education', 'Economy & Taxes', 'Housing & Community', 'Executive Power']",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,,,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,CO,6,108137,2016-05-06,MIKE COFFMAN,R,1,102.0,1410,2,0.0014184397163120568,0.2056468278169632,0.0090222656726837,,,0.0928930714726448,0.0135997012257575,0.6680124402046204,"['health care', 'health', 'border', 'benefit', 'assistance', 'legislation', 'the bill', 'bills', 'house', 'congress', 'committee', 'law', 'sponsored', 'police', 'order', 'defense', 'military', 'veterans', 'regulatory', 'epa', 'life', 'government', 'states', 'american', 'media', 'news', 'reported']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Media & Press', 'Energy Independence']",True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00024753,MIKE COFFMAN,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,NV,2,108138,2016-05-06,MARK AMODEI,R,1,28.0,643,2,0.003110419906687403,0.1234517619013786,,0.0792923644185066,,0.7233750224113464,0.057183351367712,0.0102563314139842,"['health care', 'health', 'violence', 'assistance', 'legislation', 'house', 'congress', 'law', 'law enforcement', 'veterans', 'taxes', 'tax', 'economy', 'jobs', 'economic growth', 'small business', 'business', 'regulations', 'regulation', 'life', 'states', 'american']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Gun Policy']",True,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,N00031177,MARK AMODEI,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,NE,1,108139,2016-05-06,JEFF FORTENBERRY,R,1,99.0,733,3,0.004092769440654843,0.5510340332984924,0.0261255018413066,,0.2631889879703522,,0.0340955406427383,0.1067120060324668,"['student', 'student loan', 'wage', 'legislation', 'the bill', 'bills', 'house', 'congress', 'community', 'order', 'economy', 'jobs', 'business', 'epa', 'life', 'government', 'executive', 'american', 'news']","['Social Issues & Values', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,N00026631,JEFF FORTENBERRY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,CA,23,108140,2016-05-06,KEVIN MCCARTHY,R,1,304.0,713,1,0.001402524544179523,0.868434727191925,0.0133653543889522,,,0.0565976686775684,0.0380623266100883,0.011512666940689,"['health', 'education', 'legislation', 'house', 'committee', 'vote', 'votes', 'law', 'amendment', 'majority', 'majority leader', 'sponsored', 'law enforcement', 'order', 'defense', 'veterans', 'business', 'energy']","['National Security & Defense', 'Healthcare', 'Education', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Energy Independence']",True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00028152,KEVIN MCCARTHY,2016-05-06,1,2000.00,2016-05-01,2,2842.74,3,1,2000.00,0.17,0.23
F,CA,46,108144,2016-05-06,LORETTA SANCHEZ,D,1,44.0,247,1,0.004048582995951417,0.9368888139724731,0.0049010408110916,0.0087720733135938,,0.0298083554953336,0.0120703969150781,,"['health care', 'health', 'child care', 'house', 'congress', 'affordable', 'tax', 'states', 'american']","['Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community']",False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00008274,LORETTA SANCHEZ,2016-05-06,28,17851.00,2016-05-01,8,8590.74,3,38,23851.00,1.51,0.93
M,MN,7,108182,2016-05-06,COLLIN PETERSON,D,1,102.0,1730,6,0.003468208092485549,0.1897667646408081,0.0041009257547557,0.7190097570419312,,0.0097255017608404,0.0743367001414299,,"['healthcare', 'mental health', 'health', 'education', 'student', 'college', 'benefit', 'legislation', 'the bill', 'house', 'senate', 'congress', 'committee', 'renewable energy', 'community', 'order', 'economy', 'jobs', 'small business', 'business', 'regulatory', 'energy', 'government', 'states', 'supreme court', 'power', 'american', 'media', 'press', 'news']","['Healthcare', 'Social Safety Net & Entitlements', 'Climate & Energy Policy', 'Education', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Supreme Court & Judiciary', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,N00004558,COLLIN PETERSON,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,PA,18,108145,2016-05-06,TIM MURPHY,R,1,118.0,1891,11,0.005817028027498678,0.5684550404548645,,0.0603317655622959,,0.2305362820625305,0.108303315937519,0.0183867998421192,"['healthcare', 'mental health', 'health', 'education', 'student', 'college', 'benefit', 'assistance', 'legislation', 'this bill', 'the bill', 'house', 'congress', 'vote', 'votes', 'law', 'equal', 'housing', 'affordable', 'community', 'order', 'veterans', 'tax', 'economy', 'jobs', 'business', 'energy', 'life', 'mandates', 'states', 'american', 'news']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Civil Rights', 'Law Enforcement & Crime', 'Economy & Taxes', 'Government Overreach', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Energy Independence']",True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,N00024992,TIM MURPHY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,AR,3,108146,2016-05-06,STEVE WOMACK,R,1,101.0,796,1,0.001256281407035176,0.0920459032058715,0.0039312355220317,0.8678111433982849,,0.0038992238696664,0.0271103642880916,,"['health', 'student', 'congress', 'law', 'community', 'small business', 'business', 'regulatory', 'life', 'government']","['Social Issues & Values', 'Healthcare', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community']",False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00031857,STEVE WOMACK,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,TN,9,108147,2016-05-06,STEVE COHEN,D,1,121.0,853,1,0.0011723329425556857,0.5076879262924194,,0.21268230676651,,0.0443334281444549,0.068229891359806,0.1301264464855194,"['medicare', 'health', 'education', 'social security', 'medicare', 'assistance', 'obama', 'president obama', 'house', 'congress', 'community', 'economy', 'small business', 'business', 'epa', 'life', 'government', 'american', 'news']","['Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Energy Independence']",False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00003225,STEVE COHEN,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,TN,6,108149,2016-05-06,DIANE BLACK,R,1,96.0,572,2,0.0034965034965034965,0.3539318144321441,0.0392395555973053,0.1298672258853912,,,0.1578073650598526,0.280528724193573,"['student', 'illegal', 'bills', 'congress', 'vote', 'climate', 'isis', 'economy', 'jobs', 'small business', 'business', 'epa', 'department of justice', 'american', 'media', 'news']","['Terrorism & Foreign Threats', 'Climate & Energy Policy', 'Patriotic Rhetoric', 'Education', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Supreme Court & Judiciary', 'Media & Press', 'Energy Independence']",False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,N00031539,DIANE BLACK,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,KY,4,108150,2016-05-06,THOMAS MASSIE,R,1,68.0,371,0,0.0,0.8235411047935486,0.0092714261263608,0.1164202541112899,,0.006389366928488,0.0382752679288387,,"['congress', 'budget', 'liberty', 'news']","['Media & Press', 'Congress & Legislation', 'Government Overreach', 'Economy & Taxes']",False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00034041,THOMAS MASSIE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,KS,1,108148,2016-05-06,TIM HUELSKAMP,R,1,103.0,1067,2,0.0018744142455482662,0.1742110848426818,,0.4368532299995422,,0.2459842711687088,0.1298312395811081,0.0060738986358046,"['health care', 'health', 'education', 'college', 'community college', 'obama', 'congress', 'law', 'community', 'military', 'veterans', 'tax', 'tax code', 'economy', 'small business', 'business', 'energy', 'epa', 'god', 'god bless', 'bless', 'bureaucracy', 'federal government', 'government', 'states', 'courts', 'power', 'american']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Supreme Court & Judiciary', 'Housing & Community', 'Executive Power', 'Energy Independence']",True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,N00027649,TIM HUELSKAMP,2016-05-06,1,200.00,2016-05-01,1,993.39,3,1,200.00,0.19,0.07
M,NV,4,108151,2016-05-06,CRESENT HARDY,R,1,78.0,655,6,0.00916030534351145,0.1932557076215744,0.0101322866976261,0.6957712173461914,,0.0160831026732921,0.0773440077900886,,"['health', 'social security', 'benefit', 'community', 'economy', 'small business', 'business', 'life']","['Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Economy & Taxes', 'Housing & Community']",False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00035628,CRESENT HARDY,2016-05-06,8,2350.00,2016-05-01,0,146.45,3,8,2350.00,4.86,5.35
M,VA,4,108152,2016-05-06,J. FORBES,R,1,293.0,495,3,0.006060606060606061,0.3955916464328766,0.0069088581949472,0.4543809294700622,,,0.125162199139595,0.010500949807465,"['congress', 'civil', 'budget', 'life', 'american', 'media', 'press']","['Social Issues & Values', 'Patriotic Rhetoric', 'Civil Rights', 'Economy & Taxes', 'Congress & Legislation', 'Media & Press']",False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,N00013799,RANDY FORBES,2016-05-06,13,22050.00,2016-05-01,7,5769.71,3,29,44400.00,1.25,2.57
F,WI,4,108155,2016-05-06,GWEN MOORE,D,1,26.0,420,0,0.0,0.3693781495094299,0.0966910272836685,,0.035391230136156,0.0571563988924026,,0.4164401888847351,"['education', 'student', 'congress', 'community', 'police', 'isis', 'news', 'washington post']","['Terrorism & Foreign Threats', 'Education', 'Law Enforcement & Crime', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,N00026914,GWEN MOORE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MN,6,108158,2016-05-06,TOM EMMER,R,1,80.0,643,0,0.0,0.194393590092659,0.0118271242827177,0.0687782168388366,,,0.5573919415473938,0.1602293401956558,"['student', 'house', 'congress', 'community', 'business', 'life', 'government', 'media', 'news']","['Social Issues & Values', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press']",False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00035440,TOM EMMER,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,MI,1,108159,2016-05-06,DAN BENISHEK,R,1,76.0,321,2,0.006230529595015576,0.051838681101799,,0.0047873901203274,,0.0050774975679814,0.0038339539896696,0.930381715297699,"['health', 'student', 'assistance', 'house', 'veterans', 'epa', 'news']","['National Security & Defense', 'Healthcare', 'Social Safety Net & Entitlements', 'Education', 'Congress & Legislation', 'Media & Press', 'Energy Independence']",True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00031934,DAN BENISHEK,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
