Category,Term Presence,Party,Breakdown
"Not
used",1.6851740790541685,Democrats,Terrorism And Foreign Threats
"Topic
used",1.7428677690119108,Republicans,Terrorism And Foreign Threats
"Not
used",2.161528498988532,Republicans,Terrorism And Foreign Threats
"Topic
used",1.9776620426978504,Overall,Supreme Court And Judiciary
"Not
used",1.849345471627099,Overall,Supreme Court And Judiciary
"Topic
used",1.8625139807478674,Democrats,Supreme Court And Judiciary
"Not
used",1.6674532674766056,Democrats,Supreme Court And Judiciary
"Topic
used",2.088012268733251,Republicans,Supreme Court And Judiciary
"Not
used",2.0312376757775925,Republicans,Supreme Court And Judiciary
"Topic
used",1.7846351546159955,Overall,Gun Policy
"Not
used",1.8867604529734432,Overall,Gun Policy
"Topic
used",1.704443471253833,Democrats,Gun Policy
"Not
used",1.6927638748224778,Democrats,Gun Policy
"Topic
used",1.8648268379781585,Republicans,Gun Policy
"Not
used",2.0807570311244086,Republicans,Gun Policy
"Topic
used",2.5550126284552874,Overall,Iran And Nuclear Policy
"Not
used",1.8171156188757838,Overall,Iran And Nuclear Policy
"Topic
used",2.3832848266499584,Democrats,Iran And Nuclear Policy
"Not
used",1.6478808498094895,Democrats,Iran And Nuclear Policy
"Topic
used",2.7267404302606164,Republicans,Iran And Nuclear Policy
"Not
used",1.9863503879420785,Republicans,Iran And Nuclear Policy
"Topic
used",1.8877235209094771,Overall,Reproductive Rights
"Not
used",1.8570068963351372,Overall,Reproductive Rights
"Topic
used",1.3903308823529414,Democrats,Reproductive Rights
"Not
used",1.6925466770774982,Democrats,Reproductive Rights
"Topic
used",2.2553615581034387,Republicans,Reproductive Rights
"Not
used",2.021467115592776,Republicans,Reproductive Rights
"Topic
used",1.6068597338288633,Overall,Civil Rights
"Not
used",1.881830014538646,Overall,Civil Rights
"Topic
used",1.926103530160595,Democrats,Civil Rights
"Not
used",1.629874552407425,Democrats,Civil Rights
"Topic
used",1.2876159374971314,Republicans,Civil Rights
"Not
used",2.133785476669867,Republicans,Civil Rights
"Topic
used",2.064802777355963,Overall,Criminal Justice Reform
"Not
used",1.844915275365705,Overall,Criminal Justice Reform
"Topic
used",1.8670259509618061,Democrats,Criminal Justice Reform
"Not
used",1.6670498007528913,Democrats,Criminal Justice Reform
"Topic
used",2.2625796037501194,Republicans,Criminal Justice Reform
"Not
used",2.0227807499785193,Republicans,Criminal Justice Reform
"Topic
used",1.6569382716049381,Overall,Election Integrity
"Not
used",1.8590484346884935,Overall,Election Integrity
"Topic
used",1.288563492063492,Democrats,Election Integrity
"Not
used",1.684772192054495,Democrats,Election Integrity
"Topic
used",2.94625,Republicans,Election Integrity
"Not
used",2.033324677322492,Republicans,Election Integrity
