date,first_name,last_name,subject,id,neutral_score,anger_score,joy_score,disgust_score,sadness_score,surprise_score,fear_score
2015-01-03 10:13:20,Jason,Smith,Congressman Jason Smith Capitol Report: The Year in Review,101001,0.8165569305419922,0.07730859518051147,0.06509818136692047,0.016893453896045685,0.013855913653969765,,
2015-01-03 10:13:20,Henry,Cuellar,Congressional Report,101000,0.29522082209587097,0.005298547446727753,0.6119635105133057,,0.010519592091441154,0.07289188355207443,
2015-01-03 13:00:00,Thomas,Massie,PRESS RELEASE: U.S. Representative Thomas Massie Announces He Will Not Vote to Re-elect Speaker Boehner,100999,0.12779830396175385,0.014982149936258793,,,0.7858275771141052,0.028497179970145226,0.027272943407297134
2015-01-04 11:13:20,Richard,Hanna,News from Upstate,100997,0.9466607570648193,,0.007174965459853411,,0.017156166955828667,0.013341897167265415,0.00678042508661747
2015-01-04 11:13:20,Louie,Gohmert,Rep. Louie Gohmert Announces Run for Speaker of the House ,100998,0.7276250720024109,0.024722976610064507,0.05323005095124245,,,0.015453096479177475,0.15919247269630432
2015-01-04 14:00:00,Austin,Scott,Happy New Year!,100996,0.28406524658203125,,0.4963642358779907,,0.008784511126577854,0.019505921751260757,0.18305888772010803
2015-01-04 14:00:00,Markwayne,Mullin,Mullin Messenger - 2014 in Review,100995,0.9528895616531372,0.0059075988829135895,0.005316293332725763,,0.006858681328594685,0.0234431903809309,
2015-01-04 16:46:40,Lynn,Jenkins,Rep. Lynn Jenkins Weekly Update: 2014 Year in Review & America's New Congress,100990,0.8748672604560852,,0.0430009663105011,,0.014387700706720352,0.029200492426753044,0.028863420709967613
2015-01-04 16:46:40,Ted,Yoho,A New Speaker,100993,0.8141745328903198,0.12951205670833588,,0.009326351806521416,,0.011493176221847534,0.01909736543893814
2015-01-04 16:46:40,Richard,Hudson,Looking Ahead,100992,0.17594760656356812,,0.7496145963668823,,0.024690154939889908,0.02978736162185669,0.014631206169724464
2015-01-04 16:46:40,Bradley,Byrne,The Path Forward in 2015,100991,0.9624890685081482,0.007664050906896591,,0.004963362123817205,0.00492134690284729,0.012593734078109264,
2015-01-04 19:33:20,Barbara,Lee,Update from Congresswoman Barbara Lee,100989,0.381782591342926,0.00437041325494647,0.496454119682312,,0.020386124029755592,0.09156762063503265,
2015-01-05 09:26:40,J.,Forbes,The One New Year's Goal Our Nation Needs ,100988,0.9583820700645447,0.005136874038726091,0.009597251191735268,,0.004440721590071917,0.01473985891789198,
2015-01-05 09:26:40,Tom,Price,E-Newsletter: The 114th Congress,100987,0.876209557056427,0.0046767680905759335,0.0916280746459961,,0.004729564301669598,0.016625074669718742,
2015-01-05 12:13:20,Sam,Graves,Continued Focus on Jobs in the New Year,100985,0.9395928382873535,0.00523179629817605,,,0.019772501662373543,0.011888280510902405,0.01485589612275362
