date,first_name,last_name,subject,joy_score,neutral_score,surprise_score,fear_score,sadness_score,anger_score,disgust_score
2016-01-01 09:20:00,Marsha,Blackburn,2015: A Year in Review,0.865618109703064,0.0871870219707489,0.014608399011194706,0.013099567033350468,0.01175654586404562,,
2016-01-01 09:20:00,John,Ratcliffe,A good year behind us and a better one ahead,0.05104701966047287,0.8530768752098083,0.014838432893157005,0.01048633735626936,0.06395120918750763,,
2016-01-01 09:20:00,Bob,Dold,Need your opinion,0.07729226350784302,0.8491784930229187,0.04360821843147278,0.005637540016323328,0.01590411365032196,,
2016-01-01 09:20:00,Reid,Ribble,Happy New Year!,0.48636242747306824,0.32285642623901367,0.05983388423919678,,0.11679325997829437,0.00814715027809143,
2016-01-01 12:06:40,Scott,Perry,Happy New Year,0.5380331873893738,0.1914425492286682,0.07474266737699509,,0.1876072883605957,0.004051977302879095,
2016-01-01 12:06:40,Billy,Long,Empowering Local Education,0.01795937493443489,0.9280881285667419,0.007405745796859264,,,0.01939684897661209,0.018988240510225296
2016-01-01 12:06:40,Doug,LaMalfa,Happy New Year From Congressman LaMalfa,0.2657396197319031,0.6642679572105408,0.03925969451665878,,0.013775759376585484,0.007711861282587051,
2016-01-01 12:06:40,Mike,Coffman,"New Year, New Challenges",0.261003315448761,0.2098805159330368,0.014136375859379768,0.39658379554748535,0.1080089807510376,,
2016-01-01 14:53:20,Pete,Sessions,"Congressman Sessions Hill Report: Week of December 28 - January 1, 2016",,0.09870588779449463,0.02064155973494053,0.04995710030198097,0.7941349744796753,,0.021493829786777496
2016-01-01 14:53:20,J.,Forbes,InstaPoll: Scrapping the tax code ,,0.8857935070991516,0.03832480311393738,,0.01763049326837063,0.026209602132439613,0.021241771057248116
2016-01-02 10:20:00,Markwayne,Mullin,Storm Recovery in Eastern Oklahoma,,0.33468031883239746,0.014135297387838364,0.6069450378417969,0.027699002996087074,0.006885864306241274,
2016-01-02 13:06:40,Jason,Smith,Congressman Jason Smith Capitol Report: A Week to Remember,,0.036773186177015305,0.015530428849160671,0.929131269454956,0.007348718121647835,0.005234666168689728,
2016-01-02 13:06:40,Steve,Scalise,"Repealing ObamaCare, Defunding Planned Parenthood",0.19052758812904358,0.7048332691192627,0.04637125879526138,0.023596668615937233,,0.023475270718336105,
2016-01-03 08:33:20,Earl,Carter,Seizing the Opportunities of the New Year,0.19802789390087128,0.7563003301620483,0.014377663843333721,0.014505214989185333,,0.007481605280190706,
2016-01-03 11:20:00,Gus,Bilirakis,Happy 2016!,0.47145339846611023,0.4332480728626251,0.07020555436611176,,0.011005686596035957,0.007103088777512312,
2016-01-03 11:20:00,Austin,Scott,Happy New Year,0.7127881050109863,0.19399605691432953,0.06713646650314331,,0.015541120432317257,0.005084812641143799,
2016-01-03 14:06:40,Tom,Rice,Happy New Year!,0.8931329250335693,0.05913844332098961,0.032291755080223083,,0.010182077065110207,0.0024705759715288877,
2016-01-03 14:06:40,Will,Hurd,do you think we're winning the war on terror?,0.09640463441610336,0.6514456868171692,0.05836094543337822,0.049607180058956146,,0.11938431113958359,
2016-01-03 14:06:40,Brian,Babin,Reflecting on Our First Year and the Opportunities Ahead,0.07296844571828842,0.8084707260131836,,0.030993305146694183,0.025855248793959618,0.04677693918347359,
2016-01-03 14:06:40,Vern,Buchanan,InstaPoll: Top Priority For Congress?,,0.8888692855834961,0.028753362596035004,0.0441528744995594,0.023253004997968674,0.008672875352203846,
2016-01-03 16:53:20,Lynn,Jenkins,"Rep. Lynn Jenkins Weekly Update: Review of 2015, Administration Releasing GTMO Detainees & Protecting Legal Rights of Patients",,0.8801156878471375,0.022268449887633324,0.021311528980731964,0.03256090357899666,0.0256405770778656,
2016-01-03 16:53:20,Bradley,Byrne,A Big Vote Next Week,,0.5233443379402161,,0.29434841871261597,0.012404818087816238,0.07159822434186935,0.08412373065948486
2016-01-03 16:53:20,Scott,Tipton,Update from Congressman Scott Tipton: 2016,,0.5615909695625305,,0.3212098181247711,0.018814271315932274,0.04436088353395462,0.03834465518593788
2016-01-03 19:40:00,Michael,Fitzpatrick,Year in Review: 8th District Update,0.09896605461835861,0.8428246974945068,0.03733700141310692,,0.010078228078782558,0.006008989177644253,
2016-01-03 19:40:00,Mike,Pompeo,A New Year Fighting for Kansas Values,0.7525819540023804,0.20394903421401978,0.02648245170712471,,0.00427218759432435,0.006794097367674112,
2016-01-04 09:33:20,Blake,Farenthold,A Message from Blake,,0.6179434061050415,,0.24110454320907593,0.08487483859062195,0.021631505340337753,0.016705065965652466
2016-01-04 09:33:20,Richard,Hudson,Looking Ahead,0.27785059809684753,0.6619547009468079,0.016052424907684326,0.009702958166599274,0.024680372327566147,,
2016-01-04 09:33:20,Tom,Price,E-Newsletter: Sending Obamacare Repeal to the President's Desk,,0.7074623107910156,,0.09354957938194275,0.06231391057372093,0.08024293184280396,0.041190315037965775
2016-01-04 12:20:00,Gregg,Harper,The Second Amendment ,,0.02046872116625309,0.04264253005385399,0.9186885952949524,,0.007361734751611948,0.007409919984638691
2016-01-04 12:20:00,Vern,Buchanan,Say What?,,0.8575627207756042,0.008927196264266968,0.016301609575748444,,0.08564049750566483,0.022129083052277565
2016-01-04 12:20:00,Vern,Buchanan,Protecting Florida's State Animal,,0.7816463708877563,0.025610389187932014,0.08220880478620529,0.0729178860783577,0.02446223422884941,
2016-01-04 15:06:40,Ken,Buck,That's a wrap,0.05274941027164459,0.9083658456802368,0.017413944005966187,,0.006026766262948513,0.010343105532228947,
2016-01-04 15:06:40,Pete,Olson,Protecting Our Second Amendment Rights,0.0035444831009954214,0.05478482320904732,0.03839772194623947,0.040601227432489395,0.8578631281852722,,
2016-01-04 15:06:40,Sam,Graves,The President's Gun Control Obsession,,0.323099821805954,,0.49091172218322754,0.010237082839012146,0.14870190620422363,0.015218017622828484
2016-01-04 15:06:40,Tim,Huelskamp,Happy New Year!,0.06674917042255402,0.48372355103492737,0.04320654273033142,,0.37996014952659607,0.011526013724505901,
2016-01-04 15:06:40,H.,Griffith,Congressman Griffith's Weekly E-Newsletter 1.4.16,0.01158504281193018,0.69198077917099,0.2656633257865906,,,0.009035968221724033,0.008297712542116642
2016-01-04 17:53:20,Dan,Newhouse,Reply from Congressman Dan Newhouse,0.20299381017684937,0.7380572557449341,0.024409085512161255,,0.010780297219753265,0.009843254461884499,
2016-01-04 17:53:20,Kevin,McCarthy,The Leader's Daily Schedule - 1/5/16,,0.8850487470626831,0.035491567105054855,0.010951495729386806,0.04603177681565285,0.009578492492437363,
2016-01-04 17:53:20,James,Renacci,Renacci Report: Happy New Year,0.013287031091749668,0.06948258727788925,0.008653698489069939,0.6705803871154785,0.23354801535606384,,
2016-01-04 17:53:20,Charles,Dent,10 ways my office could help you in 2016,,0.5462425351142883,0.019671913236379623,0.33910951018333435,0.04308268800377846,0.03254960849881172,
2016-01-04 17:53:20,Pete,Olson,Olson Weekly Wrap Up,0.42181140184402466,0.3718101382255554,0.09411486238241196,0.01593182608485222,0.0846923217177391,,
2016-01-04 20:40:00,Randy,Neugebauer,Randy's Roundup: President Obama's Executive Actions on Guns,,0.36633145809173584,0.01710004173219204,0.08389271795749664,,0.4973224997520447,0.02393168769776821
2016-01-04 20:40:00,Martha,Roby,I'll Fight For Your Rights...,,0.5198835730552673,0.04408365860581398,0.1898249387741089,0.1678239405155182,0.059711746871471405,
2016-01-04 23:26:40,Todd,Young,"President Obama Alone On Gun Control, Start To An Unhappy New Regulatory Year",0.019387919455766678,0.020130133256316185,0.03398781269788742,,0.9196221232414246,0.0037993404548615217,
2016-01-05 10:33:20,Candice,Miller,Rep. Miller on State of the Great Lakes,0.030497895553708076,0.8585601449012756,0.013970349915325642,0.053520482033491135,,0.02361401729285717,
2016-01-05 13:20:00,Scott,Perry,Legislative Preview,,0.654436469078064,0.011349635198712349,0.2694075107574463,0.010121514089405537,0.036439407616853714,
2016-01-05 13:20:00,Robert,Hurt,"Robert's Round-Up: New Year, New Opportunities",0.036902736872434616,0.9070695042610168,0.012979837134480476,0.012856793589890003,0.019414879381656647,,
2016-01-05 16:06:40,Paul,Ryan,Ryan: I see the 1st District as my family,0.009923800826072693,0.9162067770957947,0.0409301333129406,,0.01608055830001831,0.007689455524086952,
2016-01-05 16:06:40,Charles,Boustany,Our President is Not a King,,0.13948825001716614,,0.06754489243030548,0.029045382514595985,0.6498087644577026,0.10928425937891006
2016-01-05 16:06:40,Doug,Lamborn,Attacking the Second Amendment,,0.15188996493816376,,0.2413931041955948,0.02147098444402218,0.52931147813797,0.04917312413454056
2016-01-05 18:53:20,Doug,Lamborn,Attacking the Second Amendment,,0.15188996493816376,,0.2413931041955948,0.02147098444402218,0.52931147813797,0.04917312413454056
2016-01-05 18:53:20,Paul,Cook,"Congressman Paul Cook's Newsletter: January 5, 2016",,0.2825276553630829,,0.29830029606819153,0.036803096532821655,0.32177114486694336,0.04698684811592102
2016-01-05 18:53:20,Kevin,Yoder,"Congress Returns to Session, 2015 Year in Review",0.01146902609616518,0.2720394730567932,,0.6823633313179016,0.009251914918422699,,0.00962356198579073
2016-01-05 18:53:20,Keith,Rothfus,Happy New Year,0.025937963277101517,0.1569392830133438,0.009899673983454704,0.7927481532096863,0.008930595591664314,,
2016-01-05 18:53:20,John,Culberson,Protecting Our Second Amendment Rights ,,0.45131272077560425,,0.09442955255508423,0.009952160529792309,0.41810157895088196,0.015302116982638836
